Homeowner,Credit_Score,Years_Credit_History,Revolving_Balance,Revolving_Utilization,Decision
Y,725,20,11320.00,0.25,Approve
Y,573,9,7200.00,0.70,Reject
Y,677,11,20000.00,0.55,Approve
N,625,15,12800.00,0.65,Reject
N,527,12,5700.00,0.75,Reject
Y,795,22,9000.00,0.12,Approve
N,733,7,35200.00,0.20,Approve
N,620,5,22800.00,0.62,Reject
Y,591,17,16500.00,0.50,Reject
Y,660,24,9200.00,0.35,Approve
Y,700,19,22000.00,0.18,Approve
Y,500,16,12500.00,0.83,Reject
Y,565,6,7700.00,0.70,Reject
N,620,3,37400.00,0.87,Reject
Y,774,13,6100.00,0.07,Approve
Y,802,10,10500.00,0.05,Approve
N,640,7,17300.00,0.59,Reject
N,523,14,27000.00,0.79,Reject
Y,811,20,13400.00,0.03,Approve
N,763,2,11200.00,0.70,Reject
N,555,4,2500.00,1.00,Reject
N,617,9,8400.00,0.34,Reject
Y,642,13,16000.00,0.25,Approve
N,688,3,3300.00,0.11,Approve
Y,649,12,7500.00,0.05,Approve
Y,695,15,20300.00,0.22,Approve
Y,701,9,11700.00,0.15,Approve
N,635,7,29100.00,0.85,Reject
N,507,2,2000.00,1.00,Reject
Y,677,12,7600.00,0.09,Approve
N,485,5,1000.00,0.80,Reject
N,582,3,8500.00,0.65,Reject
Y,699,17,12800.00,0.27,Approve
Y,703,22,10000.00,0.20,Approve
N,585,18,31000.00,0.78,Reject
Y,620,8,16200.00,0.55,Reject
Y,695,16,9700.00,0.11,Approve
Y,774,13,6100.00,0.07,Approve
Y,802,10,10500.00,0.05,Approve
N,640,7,17300.00,0.59,Reject
N,536,14,27000.00,0.79,Reject
Y,801,20,13400.00,0.03,Approve
N,760,2,11200.00,0.70,Reject
N,567,4,2200.00,0.95,Reject
N,600,10,12050.00,0.81,Reject
Y,702,11,11700.00,0.15,Approve
Y,636,8,29100.00,0.85,Reject
N,509,3,2000.00,1.00,Reject
N,595,18,29000.00,0.78,Reject
Y,733,15,13000.00,0.24,Approve
